date,agent_id,program,channel,shift,work_mode,status
2026-07-06,A1000,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1001,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1002,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1003,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1005,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1006,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1008,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1009,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1010,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1012,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1013,RetailVoice,voice,14:00-23:00,WFH,Working
2026-07-06,A1014,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1015,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1016,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1021,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1022,RetailVoice,voice,22:00-07:00,WFH,Working
2026-07-06,A1023,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1024,RetailVoice,voice,14:00-23:00,Office,Training
2026-07-06,A1026,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1027,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1028,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1031,RetailVoice,voice,22:00-07:00,Office,Working
2026-07-06,A1033,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1036,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1037,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1038,RetailVoice,voice,09:00-18:00,Office,Training
2026-07-06,A1039,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1040,RetailVoice,voice,09:00-18:00,WFH,Working
2026-07-06,A1043,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1046,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1047,RetailVoice,voice,09:00-18:00,Office,Working
2026-07-06,A1049,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1051,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1054,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1057,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1058,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1059,RetailVoice,voice,06:00-15:00,Office,Working
2026-07-06,A1061,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1062,RetailVoice,voice,13:30-22:30,WFH,Working
2026-07-06,A1063,RetailVoice,voice,14:00-23:00,Office,Working
2026-07-06,A1064,RetailVoice,voice,13:30-22:30,Office,Working
2026-07-06,A1065,RetailVoice,voice,13:30-22:30,Office,Working
