site,building,floor,account,lob,seats
APA-MNL-01,MNL Tower,05F,Client A,Customer Care,182
APA-MNL-01,MNL Tower,05F,Client B,Tech Support,112
APA-MNL-01,MNL Tower,06F,Client A,Billing,171
APA-MNL-01,MNL Tower,06F,Client B,Back Office,105
APA-MNL-01,MNL Tower,07F,Client A,Customer Care,160
APA-MNL-01,MNL Tower,07F,Client B,Tech Support,98
APA-MNL-02,MNL Tower,11F,Client A,Customer Care,203
APA-MNL-02,MNL Tower,12F,Client A,Billing,187
APA-BKK-01,BKK Tower,03F,Client B,Tech Support,216
APA-BKK-01,BKK Tower,04F,Client B,Back Office,209
APA-BKK-02,BKK Tower,08F,Client B,Tech Support,95
APA-BKK-02,BKK Tower,08F,Client C,Collections,59
APA-BKK-02,BKK Tower,09F,Client B,Back Office,89
APA-BKK-02,BKK Tower,09F,Client C,Escalations,54
APA-BKK-02,BKK Tower,10F,Client B,Tech Support,86
APA-BKK-02,BKK Tower,10F,Client C,Collections,52
APA-MAA-01,MAA Tower,02F,Client A,Customer Care,330
APA-MAA-01,MAA Tower,03F,Client A,Billing,310
APA-MAA-01,MAA Tower,04F,Client A,Customer Care,291
APA-MAA-02,MAA Tower,15F,Client C,Collections,203
APA-MAA-02,MAA Tower,16F,Client C,Escalations,189
APA-MAA-03,MAA Tower,06F,Client A,Customer Care,174
APA-MAA-03,MAA Tower,06F,Client C,Collections,106
APA-MAA-03,MAA Tower,07F,Client A,Billing,164
APA-MAA-03,MAA Tower,07F,Client C,Escalations,100
EME-BUC-01,BUC Tower,04F,Client B,Tech Support,298
EME-BUC-01,BUC Tower,05F,Client B,Back Office,288
EME-BUC-01,BUC Tower,06F,Client B,Tech Support,278
EME-BUC-02,BUC Tower,02F,Client B,Tech Support,105
EME-BUC-02,BUC Tower,02F,Client C,Collections,65
EME-BUC-02,BUC Tower,03F,Client B,Back Office,101
EME-BUC-02,BUC Tower,03F,Client C,Escalations,62
EME-LIS-01,LIS Tower,07F,Client A,Customer Care,158
EME-LIS-01,LIS Tower,07F,Client C,Collections,97
EME-LIS-01,LIS Tower,08F,Client A,Billing,148
EME-LIS-01,LIS Tower,08F,Client C,Escalations,90
EME-LIS-02,LIS Tower,01F,Client C,Collections,140
EME-LIS-02,LIS Tower,02F,Client C,Escalations,135
EME-LIS-02,LIS Tower,03F,Client C,Collections,131
EME-CAI-01,CAI Tower,09F,Client A,Customer Care,310
EME-CAI-01,CAI Tower,10F,Client A,Billing,301
EME-CAI-01,CAI Tower,11F,Client A,Customer Care,291
EME-CAI-02,CAI Tower,05F,Client B,Tech Support,207
EME-CAI-02,CAI Tower,06F,Client B,Back Office,200
EME-CAI-03,CAI Tower,12F,Client A,Customer Care,178
EME-CAI-03,CAI Tower,12F,Client B,Tech Support,109
EME-CAI-03,CAI Tower,13F,Client A,Billing,153
EME-CAI-03,CAI Tower,13F,Client B,Back Office,93
AME-BOG-01,BOG Tower,03F,Client C,Collections,290
AME-BOG-01,BOG Tower,04F,Client C,Escalations,273
AME-BOG-01,BOG Tower,05F,Client C,Collections,264
AME-BOG-02,BOG Tower,08F,Client A,Customer Care,130
AME-BOG-02,BOG Tower,09F,Client A,Billing,125
AME-GDL-01,GDL Tower,02F,Client B,Tech Support,228
AME-GDL-01,GDL Tower,03F,Client B,Back Office,220
AME-GDL-02,GDL Tower,06F,Client A,Customer Care,95
AME-GDL-02,GDL Tower,06F,Client B,Tech Support,59
AME-GDL-02,GDL Tower,07F,Client A,Billing,92
AME-GDL-02,GDL Tower,07F,Client B,Back Office,56
AME-GDL-02,GDL Tower,08F,Client A,Customer Care,89
AME-GDL-02,GDL Tower,08F,Client B,Tech Support,55
AME-YWG-01,YWG Tower,04F,Client C,Collections,298
AME-YWG-01,YWG Tower,05F,Client C,Escalations,288
AME-YWG-01,YWG Tower,06F,Client C,Collections,279
AME-YWG-02,YWG Tower,10F,Client C,Collections,110
AME-YWG-02,YWG Tower,10F,Client A,Customer Care,68
AME-YWG-02,YWG Tower,11F,Client C,Escalations,107
AME-YWG-02,YWG Tower,11F,Client A,Billing,65
AME-YWG-03,YWG Tower,01F,Client B,Tech Support,269
AME-YWG-03,YWG Tower,02F,Client B,Back Office,237
