country,city,site,building,tower,floor,zone,zone_type,seat_id,x_mm,y_mm,desk_size_mm,seat_status,trapped_reason
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-001,11990.2,63865.3,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-002,14181.0,63166.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-003,15182.2,63166.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-004,16134.3,63166.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-005,17193.9,63166.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-006,18215.4,63166.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-007,19160.1,63166.0,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-008,11990.2,62864.1,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-009,14412.3,62540.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-010,15413.6,62540.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-011,16438.3,62540.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-012,17445.5,62540.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-013,18448.2,62540.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-014,19447.9,62540.2,1000x500,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-015,11990.2,61862.9,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-016,11990.2,60839.6,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-017,14124.5,60552.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-018,15182.2,60552.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-019,16192.6,60552.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-020,17193.9,60552.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-021,18215.4,60552.5,1000x600,trapped,it_not_ready
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-022,19160.1,60552.5,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-023,14427.1,59860.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-024,15435.7,59860.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-025,16454.0,59860.4,1000x600,usable,
India,Gurugram,Northgate Campus,Tower A,T1,14F,23B,Production,T1-23F-23B-026,17460.2,59860.4,1000x600,usable,
